Time,Engine Load (%),Fuel Pressure (mPa),Accel Pedal Position Sensor 2 (%),VVT Exhaust Desired (deg),Knock retard (deg),Electronic throttle control actual (deg),Absolute Throttle Position (OBD) (%),Fuel pulse width (ms),Electronic throttle control position (%),Ambient Air Temperature (F),Barometric pressure (PSI),Manifold absolute pressure (PSI),Intake Air Temperature (F),Rear O2 fuel trim B1 (%),Actual AFR (AFR),Short fuel trim 2 (%),Vehicle speed (kph),VVT Intake Camshaft position duty 1 (%),Throttle position 2 (%),Mass air flow sensor (V),Fuel pressure (mPa),Engine speed (RPM),Evaporative emission canister purge valve duty (%),Engine coolant temperature (F),Long fuel trim 2 (%),Evaporative Emission Canister Purge Valve duty cycle #2 (%),Intake air temperature (F),Accel Pedal Position Sensor 1 (%),Accelerator pedal position sensor 1 (V),Air fuel ratio (AFR),Ambient Air Temperature 2 (F),Calculated Engine Load (OBD) (%),Electronic throttle control desired (deg),Engine Coolant Temperature S1 (F),Engine Oil Pressure (PSI),Engine load,Equivalence ratio B1 S1 (AFR),Evaporative Purge (%),Fuel Injection amoung (mg/cyl),Fuel Pressure Desired (MPa),Fuel pressure desired (mPa),Ignition timing (deg),Intake Shutter Valve Control Desired #2 (deg),KCS Learning Value (deg),Long fuel trim 1 (%),Manifold Air temperature sensor (V),Mass air flow (g/s),Oil Temperature (F),Short fuel trim 1 (%),Throttle position 1 (%),VVT Exhaust Actual Position (deg),VVT Intake Actual Position (deg),VVT Intake Desired (deg),
0, 0, 0.48, 7.8, 0, 0, 12.94, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 65, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.78, 0, 21.96, 0, 34.56, 35,
283, 0, 0.49, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 65, 21.96, 1.68, 0.49, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.77, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.78, 0, 21.96, 0, 34.75, 35,
574, 0, 0.48, 7.8, 0, 0, 12.94, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.56, 35,
864, 0, 0.48, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 65, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
1149, 0, 0.48, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.56, 35,
1423, 0, 0.47, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.47, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
1709, 0, 0.48, 7.8, 0, 0, 12.96, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
1984, 0, 0.49, 7.8, 0, 0, 12.94, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.49, 0, 0, 96.8, 0, 0, 87.8, 15.3, 0.77, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
2269, 0, 0.48, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 87.8, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
2559, 0, 0.47, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.47, 0, 0, 96.8, 0, 0, 87.8, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.78, 0, 21.96, 0, 34.75, 35,
